O_{index}(m_3)	            z_0	          v_x	       v_y	          v_z	        T           stability
O_{1}(0.1)	5.78304539968228E-01	2.99949028598560E-02	3.53757085402933E-02	1.66254073966839E-02	8.59173325042564E+00	   U
O_{2}(0.1)	2.59378550772780E-01	4.17831149465122E-02	4.40030457803632E-02	1.06549602533974E-02	1.66580950715590E+01	   U
O_{3}(0.1)	8.32375903191546E-01	1.18187754912675E-02	5.75726362116976E-02	-2.92420372441069E-03	2.11346550966125E+01	   U
O_{4}(0.1)	7.23958541101726E-01	4.27017982682917E-03	7.34959481785356E-02	-6.18226302528408E-03	2.64763000598388E+01	   U
O_{5}(0.1)	8.07992074595564E-01	3.82795923828675E-03	5.98614004684657E-02	3.97611940656083E-03	2.95674822801396E+01	   U
O_{6}(0.1)	9.77132674937934E-01	7.13657971666251E-03	5.56514382263358E-02	7.30967803667903E-03	3.82476669389106E+01	   S
O_{7}(0.1)	6.77094015226794E-01	2.95258577495656E-03	6.26252111575183E-02	-6.39334300752375E-03	4.20462032965397E+01	   U
O_{8}(0.1)	9.67659457661470E-01	1.03211495590635E-02	7.17912143648546E-02	6.16779556141014E-03	4.55452025644019E+01	   U
O_{9}(0.1)	9.99409618909450E-01	1.56119892481313E-02	5.19959165629170E-02	-4.49216990039865E-03	5.08454356233969E+01	   U
O_{10}(0.1)	9.36185999278459E-01	9.32237134657698E-03	5.57159862914783E-02	9.74411843173814E-03	5.93142187752835E+01	   S
O_{11}(0.1)	8.57319937080075E-01	4.22403423828587E-03	5.89105346302814E-02	3.53193420079694E-03	9.74351408624384E+01	   U
O_{1}(0.2)	2.46784923729272E-01	5.15228797928513E-02	8.28603838863658E-02	5.18943073688530E-03	1.70097892372623E+01	   U
O_{2}(0.2)	7.49626041218902E-01	6.14071245126698E-02	5.95215792080341E-02	1.58680842436723E-03	1.71762865161450E+01	   U
O_{3}(0.2)	9.33191425742390E-01	6.95761603501060E-02	9.68451547007533E-02	-7.96520893494090E-03	2.84552570673801E+01	   U
O_{4}(0.2)	6.59044838651440E-01	3.38351937036812E-02	1.09488271636493E-01	-4.46862605961324E-04	3.06255221127222E+01	   U
O_{5}(0.2)	8.30721419635995E-01	1.36808761174697E-03	1.16019211179349E-01	1.17289485033042E-03	3.62868285779303E+01	   S
